Month,Make,AccidentArea,MonthClaimed,VehicleCategory,VehiclePrice,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,AddressChange_Claim,NumberOfCars,BasePolicy,FraudFound_P,RegistrationDate
Feb,Chevrolet,Urban,Feb,Sedan,23971,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Feb,Honda,Rural,Feb,Sedan,25986,400,1,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Pontiac,Urban,Feb,Sedan,34038,400,1,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Feb,Honda,Urban,Feb,Sedan,30620,400,3,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Feb,Toyota,Urban,Feb,Sedan,20426,400,3,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Mazda,Urban,Mar,Sport,80410,400,2,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Feb,Toyota,Urban,Feb,Sedan,26634,400,4,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Pontiac,Rural,Feb,Sedan,31460,400,3,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Feb,Mazda,Urban,Feb,Sedan,24827,400,1,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Feb,Mazda,Urban,Feb,Sedan,25271,400,3,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Honda,Urban,Feb,Sedan,24693,400,3,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Feb,Toyota,Rural,Apr,Sedan,26557,400,3,more than 30,more than 30,1,over 25,No,No,External,no change,3 to 4,Collision,1,01:01.0
Feb,Pontiac,Urban,Mar,Sedan,33090,400,2,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Feb,Pontiac,Urban,Mar,Sport,24949,400,3,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Liability,1,01:01.0
Feb,Pontiac,Rural,Mar,Sedan,7757,400,4,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Toyota,Urban,Mar,Sedan,22326,700,3,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Toyota,Urban,Mar,Sedan,23831,500,2,more than 30,more than 30,none,over 25,No,No,External,2 to 3 years,2 vehicles,All Perils,1,01:01.0
Feb,Chevrolet,Rural,Oct,Sedan,85060,400,4,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Honda,Urban,Feb,Sedan,90210,400,3,more than 30,more than 30,2 to 4,25 and under,No,No,External,1 year,1 vehicle,All Perils,1,01:01.0
Feb,Accura,Urban,Apr,Sedan,33622,400,4,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Honda,Urban,Mar,Sedan,79925,400,1,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,1824-04-28 00:01:01.000001
Feb,Pontiac,Urban,Apr,Sedan,26196,400,3,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Honda,Urban,Mar,Sedan,71009,400,2,more than 30,more than 30,none,25 and under,Yes,No,External,no change,1 vehicle,All Perils,1,01:01.0
Feb,Pontiac,Urban,Mar,Sedan,21258,400,2,more than 30,more than 30,1,over 25,No,No,External,no change,3 to 4,Collision,1,01:01.0
Feb,Pontiac,Urban,Feb,Sedan,33646,400,3,more than 30,more than 30,1,over 25,Yes,Yes,External,no change,1 vehicle,Collision,1,01:01.0
Feb,Honda,Urban,Mar,Sport,95170,400,4,8 to 15,15 to 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Feb,Pontiac,Urban,Mar,Sedan,35855,400,4,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,3 to 4,All Perils,1,01:01.0
Mar,Pontiac,Rural,Mar,Sedan,34405,400,4,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Honda,Urban,Mar,Sedan,87954,400,4,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Toyota,Urban,Mar,Sedan,4843,400,1,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Accura,Urban,Mar,Sedan,38943,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Chevrolet,Rural,Mar,Sedan,74326,400,2,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Ford,Urban,Mar,Sedan,48765,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Honda,Urban,Mar,Sedan,85892,400,4,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Toyota,Rural,Mar,Sedan,22512,400,4,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Honda,Urban,Mar,Sedan,86077,400,1,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Toyota,Urban,Mar,Sedan,81260,400,4,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Honda,Urban,Mar,Sedan,79865,400,2,more than 30,more than 30,1,25 and under,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Mazda,Urban,Mar,Sedan,37821,400,4,more than 30,more than 30,more than 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Mazda,Rural,Mar,Sedan,79582,400,4,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Toyota,Urban,Mar,Sedan,38783,400,4,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Honda,Urban,Mar,Sport,99835,400,1,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Mazda,Urban,Mar,Sedan,36450,400,1,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Toyota,Urban,Mar,Sport,24485,400,3,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Liability,1,01:01.0
Mar,Ford,Urban,Apr,Utility,95594,400,2,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Honda,Urban,Jul,Sedan,31081,400,4,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Chevrolet,Urban,Mar,Sedan,70110,400,3,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Honda,Urban,Mar,Sedan,38307,400,3,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Toyota,Urban,Apr,Sedan,28777,400,1,more than 30,more than 30,more than 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Honda,Rural,Mar,Sport,76316,400,4,more than 30,more than 30,2 to 4,25 and under,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Feb,Chevrolet,Urban,Feb,Sedan,38236,500,3,more than 30,more than 30,2 to 4,over 25,No,No,External,2 to 3 years,1 vehicle,Collision,1,01:01.0
Mar,Mazda,Urban,Mar,Sedan,24280,400,4,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Accura,Urban,Mar,Utility,80345,400,1,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jun,Chevrolet,Rural,Jun,Sedan,72066,500,4,more than 30,more than 30,none,over 25,No,No,External,2 to 3 years,1 vehicle,Collision,1,01:01.0
Mar,Pontiac,Urban,Mar,Sedan,36964,400,4,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Toyota,Urban,Mar,Sedan,38141,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Honda,Urban,Mar,Sedan,91243,400,1,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Chevrolet,Urban,Apr,Sedan,26720,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Jun,Toyota,Urban,Jul,Sport,32641,500,1,more than 30,more than 30,none,over 25,No,No,External,2 to 3 years,2 vehicles,Liability,1,01:01.0
Mar,Ford,Urban,Mar,Sedan,49466,400,4,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Toyota,Rural,Apr,Sedan,1881,400,2,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Toyota,Rural,Mar,Sedan,21524,400,3,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,3 to 4,All Perils,1,01:01.0
Mar,Pontiac,Urban,Mar,Sedan,381,400,3,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Ford,Urban,Apr,Sedan,4035,400,3,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Toyota,Urban,Mar,Sedan,98844,400,4,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Toyota,Urban,Apr,Sedan,23903,400,1,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Pontiac,Urban,Apr,Sedan,23561,400,2,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Toyota,Urban,Jun,Sedan,26940,400,2,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Toyota,Urban,Aug,Sedan,71214,400,1,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Honda,Urban,Mar,Sedan,96539,400,2,more than 30,more than 30,1,25 and under,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Toyota,Urban,Mar,Sedan,4881,400,3,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Chevrolet,Urban,Apr,Sedan,38580,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Honda,Urban,Apr,Sport,84566,400,1,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Pontiac,Urban,Apr,Sedan,22073,400,2,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Chevrolet,Urban,Apr,Sedan,23508,400,1,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Mazda,Urban,Apr,Sedan,25168,400,4,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Chevrolet,Urban,Apr,Sedan,33001,400,3,more than 30,more than 30,2 to 4,over 25,No,Yes,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Pontiac,Rural,Mar,Sedan,33562,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Mazda,Urban,Apr,Sedan,22731,400,3,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Ford,Urban,Apr,Sedan,24947,700,2,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Toyota,Urban,Apr,Sedan,11389,400,2,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Pontiac,Urban,Apr,Sedan,23295,400,4,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Mar,Chevrolet,Urban,Apr,Sport,78166,400,1,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Liability,1,01:01.0
Mar,Toyota,Rural,May,Sedan,24936,400,2,more than 30,more than 30,1,over 25,No,No,External,4 to 8 years,2 vehicles,All Perils,1,01:01.0
Mar,Honda,Rural,Apr,Sedan,25332,400,2,none,8 to 15,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Mar,Toyota,Urban,Apr,Sedan,33548,400,4,more than 30,more than 30,more than 4,over 25,No,,External,no change,1 vehicle,All Perils,1,01:01.0
Apr,Pontiac,Rural,Dec,Sedan,27931,400,4,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Apr,Pontiac,Urban,Apr,Sedan,33814,400,1,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Apr,Ford,Urban,Apr,Sedan,23539,400,1,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Apr,Pontiac,Urban,Apr,Sedan,9001,400,3,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Apr,Toyota,Urban,Apr,Sedan,36404,400,4,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Apr,Honda,Urban,Apr,Sedan,84084,400,3,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Apr,Pontiac,Urban,Jun,Sedan,27529,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Apr,Ford,Rural,Apr,Sedan,28010,400,2,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Apr,Pontiac,Urban,Apr,Sedan,21575,400,2,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
Apr,Chevrolet,Urban,Apr,Sedan,28620,400,2,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Apr,Saturn,Urban,Apr,Sedan,25582,400,4,more than 30,more than 30,1,over 25,No,No,External,no change,3 to 4,All Perils,1,01:01.0
Apr,Toyota,Urban,Apr,Sedan,20927,400,4,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1,01:01.0
Apr,Ford,Urban,Apr,Sedan,26887,500,1,more than 30,more than 30,none,over 25,No,No,External,2 to 3 years,1 vehicle,All Perils,1,01:01.0
Apr,Accura,Rural,Apr,Sedan,38244,400,2,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1,01:01.0
