Month,Make,AccidentArea,MonthClaimed,Sex,MaritalStatus,Fault,VehicleCategory,VehiclePrice,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,AddressChange_Claim,NumberOfCars,BasePolicy,FraudFound_P,PolicyNumber,Year,RegistrationDate
Dec,Pontiac,Urban,Jan,Male,Single,Policy Holder,Sedan,53801,400,4.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,814935296,2023,2017-05-22 00:01:01.000001
Dec,Pontiac,Rural,Jan,Male,Married,Policy Holder,Sedan,15227,400,1.0,more than 30,more than 30,none,over 25,No,No,External,under 6 months,1 vehicle,All Perils,1.0,441821244,2023,2016-10-21 00:01:01.000001
Dec,Honda,Urban,Jan,Male,Single,Policy Holder,Sedan,69364,400,3.0,more than 30,more than 30,1,25 and under,No,No,External,no change,1 vehicle,All Perils,1.0,478209742,2023,2023-02-06 00:01:01.000001
Dec,Honda,Urban,Jan,Male,Single,Policy Holder,Utility,76452,400,1.0,more than 30,more than 30,1,25 and under,No,No,External,4 to 8 years,2 vehicles,All Perils,1.0,827532287,2023,2023-08-22 00:01:01.000001
Jan,Honda,Urban,Jan,Male,Single,Policy Holder,Sedan,99832,400,4.0,more than 30,more than 30,1,25 and under,No,No,External,no change,1 vehicle,Collision,1.0,885214443,2023,2023-01-02 00:01:01.000001
Jan,Pontiac,Urban,Jan,Male,Married,Policy Holder,Sedan,27067,400,2.0,more than 30,more than 30,none,over 25,No,No,External,under 6 months,1 vehicle,All Perils,1.0,956192059,2023,2017-09-16 00:01:01.000001
Jan,Ford,Urban,Jan,Male,Married,Policy Holder,Sedan,51504,400,2.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,678977991,2023,2016-08-20 00:01:01.000001
Jan,,Urban,Jan,Male,Single,Policy Holder,Sedan,75517,400,3.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,922478758,2023,2023-01-08 00:01:01.000001
Jan,Accura,Urban,Jan,Male,Married,Policy Holder,Sedan,91858,400,4.0,more than 30,more than 30,more than 4,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,317642642,2023,2016-05-16 00:01:01.000001
Nov,Pontiac,Urban,Nov,Female,Married,Third Party,Sedan,37306,500,2.0,more than 30,more than 30,2 to 4,over 25,No,No,External,2 to 3 years,1 vehicle,Collision,1.0,801820781,2023,2018-05-08 00:01:01.000001
Jan,Honda,Rural,Jan,Female,Single,Policy Holder,Sedan,1174,400,1.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,635985564,2023,2019-10-07 00:01:01.000001
Jan,Pontiac,Rural,Jan,MALE,Married,Policy Holder,Sedan,27759,400,1.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,311102880,2023,2016-04-18 00:01:01.000001
Jan,Toyota,Rural,Jan,Male,Single,Policy Holder,Sedan,6545,400,4.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,156040854,2023,2018-11-16 00:01:01.000001
Jan,Chevrolet,Urban,Jan,Male,Married,Policy Holder,Sport,25222,400,2.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Liability,1.0,699682451,2023,2016-03-07 00:01:01.000001
Jan,Mazda,Rural,Jan,Male,Married,Policy Holder,Sedan,48415,400,4.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1.0,139823090,2023,2017-11-09 00:01:01.000001
Jan,Pontiac,Urban,Jan,,Married,Policy Holder,Sedan,21516,400,3.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,3 to 4,Collision,1.0,390715787,2023,2019-04-09 00:01:01.000001
Jan,Chevrolet,Urban,Jan,Male,Married,Policy Holder,Sedan,24415,400,1.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1.0,411535137,2023,2017-10-28 00:01:01.000001
Jan,Honda,Urban,Jan,Male,Married,Policy Holder,Sedan,23382,400,2.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,167434968,2023,2017-02-23 00:01:01.000001
Jan,Honda,Urban,Jan,Male,Single,Policy Holder,Sedan,95156,400,4.0,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1.0,100258338,2023,2023-10-11 00:01:01.000001
Jan,Pontiac,Urban,Jan,Male,Married,Policy Holder,Sedan,28545,400,3.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,414379164,2023,2018-11-21 00:01:01.000001
Jan,Toyota,Urban,Jan,Male,Married,Policy Holder,Sedan,27099,400,1.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,517097002,2023,2016-12-26 00:01:01.000001
Jan,Pontiac,Urban,Jan,Male,Single,Policy Holder,Sedan,11763,400,1.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,945460987,2023,2019-12-03 00:01:01.000001
Jan,Toyota,Urban,Jan,Male,Single,Policy Holder,Sedan,10520,400,3.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,229087420,2023,2019-05-13 00:01:01.000001
Jan,Mazda,Urban,Jan,Male,Married,Policy Holder,Sedan,31268,400,2.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,912740474,2023,2018-07-09 00:01:01.000001
Jan,Chevrolet,Rural,Jan,Male,Married,Policy Holder,Sport,32652,400,1.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Liability,1.0,410542404,2023,2017-04-11 00:01:01.000001
Aug,VW,Urban,Aug,Male,Married,Third Party,Sedan,60359,500,4.0,more than 30,more than 30,1,over 25,No,No,External,2 to 3 years,1 vehicle,All Perils,1.0,234001321,2023,2017-03-18 00:01:01.000001
Jan,Chevrolet,Urban,Jan,Male,Married,Policy Holder,Sedan,33647,400,3.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1.0,898511043,2023,2016-10-17 00:01:01.000001
Jan,Mazda,Rural,Feb,Male,Single,Policy Holder,Sedan,21309,400,1.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,312120816,2023,2018-06-10 00:01:01.000001
Jan,Toyota,Urban,Feb,Female,Married,Policy Holder,Sedan,27875,400,4.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,971028976,2023,2019-02-28 00:01:01.000001
Jan,Dodge,Urban,Feb,Male,Single,Policy Holder,Sedan,35753,400,2.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,816962543,2023,2018-12-24 00:01:01.000001
Jan,Toyota,Urban,Jan,Male,Married,Policy Holder,Sedan,20456,400,4.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1.0,844776679,2023,2016-01-03 00:01:01.000001
Jan,Pontiac,Urban,Jan,Male,Married,Policy Holder,Sedan,26199,400,2.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,254227049,2023,2018-04-13 00:01:01.000001
Jan,Mazda,Urban,Jan,Male,Married,Policy Holder,Sedan,21421,400,4.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1.0,645351754,2023,2017-03-08 00:01:01.000001
Jan,Chevrolet,Urban,Feb,Female,Single,Policy Holder,Sedan,86736,400,2.0,more than 30,more than 30,1,over 25,No,No,External,4 to 8 years,2 vehicles,All Perils,1.0,530387889,2023,2017-09-19 00:01:01.000001
Jan,Mazda,Urban,Feb,Male,Married,Policy Holder,Sedan,28309,400,1.0,more than 30,more than 30,2 to 4,over 25,Yes,No,External,no change,1 vehicle,Collision,1.0,459625547,2023,2017-08-16 00:01:01.000001
Jan,Honda,Urban,Feb,Male,Single,Policy Holder,Sedan,25201,400,4.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1.0,815094637,2023,2019-01-09 00:01:01.000001
Jan,Pontiac,Urban,Apr,Male,Married,Policy Holder,Sedan,37977,400,1.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1.0,700097130,2023,2017-11-11 00:01:01.000001
Jan,Chevrolet,Urban,Jan,Male,Married,Policy Holder,Sport,30964,400,3.0,more than 30,more than 30,more than 4,over 25,No,No,External,no change,1 vehicle,Liability,1.0,640479256,2023,2017-03-23 00:01:01.000001
Jan,Honda,Urban,Feb,Male,Single,Policy Holder,Sedan,72988,400,3.0,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1.0,121615903,2023,2023-09-16 00:01:01.000001
Jan,Saab,Urban,Feb,Male,Married,Policy Holder,Sedan,35936,400,3.0,more than 30,more than 30,2 to 4,over 25,No,,External,no change,1 vehicle,All Perils,1.0,517519827,2023,2016-02-06 00:01:01.000001
Jan,Mazda,Urban,Feb,Female,Single,Policy Holder,Sedan,25137,400,4.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1.0,323815586,2023,2017-06-02 00:01:01.000001
Jan,Pontiac,Urban,Apr,Male,Married,Policy Holder,Sedan,28967,400,4.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1.0,753250451,2023,2017-06-22 00:01:01.000001
Jan,Nissan,Rural,Feb,Male,Married,Policy Holder,Sedan,34936,400,1.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,906928335,2023,2019-08-03 00:01:01.000001
Jan,Pontiac,Rural,Jan,Male,Single,Policy Holder,Sedan,43104,400,1.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,621409738,2023,2018-06-27 00:01:01.000001
Jan,Toyota,Urban,Feb,Male,Married,Policy Holder,Sedan,26316,400,1.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,328378127,2023,2016-08-22 00:01:01.000001
Jan,Toyota,Urban,Feb,Male,Married,Policy Holder,Sedan,25308,400,2.0,more than 30,more than 30,2 to 4,over 25,No,No,External,1 year,1 vehicle,All Perils,1.0,692226150,2023,2016-06-08 00:01:01.000001
Jan,Chevrolet,Urban,Feb,Male,Married,Policy Holder,Sedan,22038,400,4.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,685096912,2023,2019-09-07 00:01:01.000001
Jan,Mazda,Rural,Mar,Male,Married,Policy Holder,Sedan,22555,400,3.0,more than 30,more than 30,2 to 4,over 25,No,No,External,4 to 8 years,2 vehicles,All Perils,1.0,996787906,2023,2019-09-10 00:01:01.000001
Jan,Pontiac,Rural,Feb,Male,Married,Policy Holder,Sedan,37980,400,3.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,636532597,2023,2017-03-21 00:01:01.000001
Jan,Honda,Urban,Feb,Male,Married,Policy Holder,Sedan,25133,400,3.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,418436773,2023,2018-06-20 00:01:01.000001
Jan,Toyota,Urban,Feb,Male,Married,Policy Holder,Sedan,21413,400,3.0,1 to 7,8 to 15,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,816488274,2023,2017-09-25 00:01:01.000001
Jan,Honda,Rural,Feb,Male,Single,Policy Holder,Sport,85520,400,3.0,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,Collision,1.0,579919316,2023,2021-12-02 00:01:01.000001
Feb,Pontiac,Urban,Feb,Female,Married,Policy Holder,Sedan,4812,400,3.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,821127806,2023,2016-08-17 00:01:01.000001
Feb,Pontiac,Rural,Feb,Male,Married,Policy Holder,Sedan,24839,400,2.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,170996086,2023,2017-03-31 00:01:01.000001
Feb,Accura,Urban,Feb,Male,Married,Policy Holder,Sedan,37752,400,4.0,more than 30,more than 30,more than 4,over 25,No,No,External,no change,1 vehicle,Liability,1.0,562786586,2023,2016-04-24 00:01:01.000001
Nov,Mazda,Urban,Nov,Male,Married,Third Party,Sedan,32232,500,4.0,more than 30,more than 30,1,over 25,No,No,External,2 to 3 years,1 vehicle,Collision,1.0,773317098,2023,2016-12-08 00:01:01.000001
Feb,Accura,Urban,Feb,Male,Married,Policy Holder,Sedan,32973,700,1.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,506907290,2023,2017-03-11 00:01:01.000001
Feb,Pontiac,Urban,Feb,Male,Single,Policy Holder,Sedan,22072,700,3.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,176667180,2023,2017-02-13 00:01:01.000001
Feb,Chevrolet,Urban,Feb,Male,Married,Policy Holder,Sedan,30248,400,3.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,515429081,2023,2017-10-04 00:01:01.000001
Feb,Honda,Rural,Feb,Male,Single,Policy Holder,Sedan,78516,400,3.0,more than 30,more than 30,none,25 and under,,No,External,2 to 3 years,2 vehicles,Collision,1.0,379680453,2023,2023-03-18 00:01:01.000001
Feb,Honda,Urban,Feb,Male,Single,Policy Holder,Sedan,89010,400,1.0,more than 30,more than 30,more than 4,25 and under,No,No,External,no change,1 vehicle,All Perils,1.0,100481199,2023,2023-03-18 00:01:01.000001
Feb,Chevrolet,Urban,Feb,Male,Married,Policy Holder,Sedan,23971,400,2.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,258969433,2023,2018-09-07 00:01:01.000001
Feb,Honda,Rural,Feb,Male,Married,Policy Holder,Sedan,25986,400,1.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,805146362,2023,2017-09-25 00:01:01.000001
Feb,Pontiac,Urban,Feb,Male,Married,Policy Holder,Sedan,34038,400,1.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,103485942,2023,2019-06-07 00:01:01.000001
Feb,Honda,Urban,Feb,Male,Married,Policy Holder,Sedan,30620,400,3.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,519531719,2023,2018-04-19 00:01:01.000001
Feb,Toyota,Urban,Feb,Male,Married,Policy Holder,Sedan,20426,400,3.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,991017555,2023,2018-09-15 00:01:01.000001
Feb,Mazda,Urban,Mar,Male,Single,Policy Holder,Sport,80410,400,2.0,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,Collision,1.0,162900500,2023,2019-11-01 00:01:01.000001
Feb,Toyota,Urban,Feb,Male,Married,Policy Holder,Sedan,26634,400,4.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,939215892,2023,2016-08-17 00:01:01.000001
Feb,Pontiac,Rural,Feb,Male,Single,Policy Holder,Sedan,31460,400,3.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1.0,240444592,2023,2018-04-08 00:01:01.000001
Feb,Mazda,Urban,Feb,Male,Married,Policy Holder,Sedan,24827,400,1.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,829158430,2023,2017-12-21 00:01:01.000001
Feb,Mazda,Urban,Feb,Male,Married,Policy Holder,Sedan,25271,400,3.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,240220530,2023,2017-02-10 00:01:01.000001
Feb,Honda,Urban,Feb,Male,Single,Policy Holder,Sedan,24693,400,3.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1.0,421352757,2023,2018-07-15 00:01:01.000001
Feb,Toyota,Rural,Apr,Male,Married,Policy Holder,Sedan,26557,400,3.0,more than 30,more than 30,1,over 25,No,No,External,no change,3 to 4,Collision,1.0,751822882,2023,2016-08-10 00:01:01.000001
Feb,Pontiac,Urban,Mar,Male,Single,Policy Holder,Sedan,33090,400,2.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1.0,312613800,2023,2018-02-19 00:01:01.000001
Feb,Pontiac,Urban,Mar,Female,Single,Policy Holder,Sport,24949,400,3.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Liability,1.0,167506259,2023,2019-01-21 00:01:01.000001
Feb,Pontiac,Rural,Mar,Male,Married,Policy Holder,Sedan,7757,400,4.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,889321213,2023,2016-12-23 00:01:01.000001
Feb,Toyota,Urban,Mar,Male,Married,Policy Holder,Sedan,22326,700,3.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,747080701,2023,2017-03-10 00:01:01.000001
Feb,Toyota,Urban,Mar,Male,Single,Policy Holder,Sedan,23831,500,2.0,more than 30,more than 30,none,over 25,No,No,External,2 to 3 years,2 vehicles,All Perils,1.0,808039303,2023,2018-04-14 00:01:01.000001
Feb,Chevrolet,Rural,Oct,Male,Married,Policy Holder,Sedan,85060,400,4.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,249541128,2023,2016-08-17 00:01:01.000001
Feb,Honda,Urban,Feb,Male,Single,Policy Holder,Sedan,90210,400,3.0,more than 30,more than 30,2 to 4,25 and under,No,No,External,1 year,1 vehicle,All Perils,1.0,821462204,2023,2023-03-24 00:01:01.000001
Feb,Accura,Urban,Apr,Male,Married,Policy Holder,Sedan,33622,400,4.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,203929757,2023,2016-10-19 00:01:01.000001
Feb,Honda,Urban,Mar,Male,Married,Policy Holder,Sedan,79925,400,1.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,613145756,2023,1824-04-28 00:01:01.000001
Feb,Pontiac,Urban,Apr,Male,Married,Policy Holder,Sedan,26196,400,3.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,943569799,2023,2017-04-23 00:01:01.000001
Feb,Honda,Urban,Mar,Male,Single,Policy Holder,Sedan,71009,400,2.0,more than 30,more than 30,none,25 and under,Yes,No,External,no change,1 vehicle,All Perils,1.0,525963228,2023,2023-11-07 00:01:01.000001
Feb,Pontiac,Urban,Mar,Male,Married,Policy Holder,Sedan,21258,400,2.0,more than 30,more than 30,1,over 25,No,No,External,no change,3 to 4,Collision,1.0,930397452,2023,2017-01-28 00:01:01.000001
Feb,Pontiac,Urban,Feb,Male,Single,Policy Holder,Sedan,33646,400,3.0,more than 30,more than 30,1,over 25,Yes,Yes,External,no change,1 vehicle,Collision,1.0,866246318,2023,2019-08-14 00:01:01.000001
Feb,Honda,Urban,Mar,Male,Single,Policy Holder,Sport,95170,400,4.0,8 to 15,15 to 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1.0,965864149,2023,2019-01-21 00:01:01.000001
Feb,Pontiac,Urban,Mar,Male,Married,Policy Holder,Sedan,35855,400,4.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,3 to 4,All Perils,1.0,959559930,2023,2016-06-20 00:01:01.000001
Mar,Pontiac,Rural,Mar,Male,Married,Policy Holder,Sedan,34405,400,4.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,684458922,2023,2017-03-06 00:01:01.000001
Mar,Honda,Urban,Mar,Male,Single,Policy Holder,Sedan,87954,400,4.0,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1.0,228160971,2023,2023-07-03 00:01:01.000001
Mar,Toyota,Urban,Mar,Female,Married,Policy Holder,Sedan,4843,400,1.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,348937166,2023,2017-06-07 00:01:01.000001
Mar,Accura,Urban,Mar,Male,Married,Policy Holder,Sedan,38943,400,2.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,416491520,2023,2017-12-03 00:01:01.000001
Mar,Chevrolet,Rural,Mar,Male,Single,Policy Holder,Sedan,74326,400,2.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,940659475,2023,2019-11-26 00:01:01.000001
Mar,Ford,Urban,Mar,Male,Single,Policy Holder,Sedan,48765,400,2.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,609522917,2023,2021-09-13 00:01:01.000001
Mar,Honda,Urban,Mar,Male,Single,Policy Holder,Sedan,85892,400,4.0,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1.0,813788201,2023,2023-07-22 00:01:01.000001
Mar,Toyota,Rural,Mar,Male,Single,Policy Holder,Sedan,22512,400,4.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,Collision,1.0,458402606,2023,2019-10-06 00:01:01.000001
Mar,Honda,Urban,Mar,Male,Single,Policy Holder,Sedan,86077,400,1.0,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,All Perils,1.0,496084883,2023,2023-12-01 00:01:01.000001
Mar,Toyota,Urban,Mar,Male,Married,Policy Holder,Sedan,81260,400,4.0,more than 30,more than 30,1,over 25,No,No,External,no change,1 vehicle,All Perils,1.0,776639301,2023,2017-11-20 00:01:01.000001
Mar,Honda,Urban,Mar,Male,Single,Policy Holder,Sedan,79865,400,2.0,more than 30,more than 30,1,25 and under,No,No,External,no change,1 vehicle,All Perils,1.0,594082173,2023,2023-01-26 00:01:01.000001
Mar,Mazda,Urban,Mar,Male,Single,Policy Holder,Sedan,37821,400,4.0,more than 30,more than 30,more than 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,722045653,2023,2018-07-31 00:01:01.000001
Mar,Mazda,Rural,Mar,Male,Married,Policy Holder,Sedan,79582,400,4.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,117701546,2023,2018-10-22 00:01:01.000001
Mar,Toyota,Urban,Mar,Male,Married,Policy Holder,Sedan,38783,400,4.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Collision,1.0,887953763,2023,2016-04-12 00:01:01.000001
Mar,Honda,Urban,Mar,Male,Single,Policy Holder,Sport,99835,400,1.0,more than 30,more than 30,none,25 and under,No,No,External,no change,1 vehicle,Collision,1.0,899752526,2023,2021-12-14 00:01:01.000001
Mar,Mazda,Urban,Mar,Male,Married,Policy Holder,Sedan,36450,400,1.0,more than 30,more than 30,none,over 25,No,No,External,no change,1 vehicle,Collision,1.0,907260472,2023,2018-02-20 00:01:01.000001
Mar,Toyota,Urban,Mar,Male,Married,Policy Holder,Sport,24485,400,3.0,more than 30,more than 30,2 to 4,over 25,No,No,External,no change,1 vehicle,Liability,1.0,777499218,2023,2016-02-11 00:01:01.000001
